#gene,Dmel,Dsec,Dsim
128up,FBgn0010339,FBgn0176208,FBgn0182597
CG9586,FBgn0032101,FBgn0167476,FBgn0193770
CG9588,FBgn0038166,FBgn0180771,FBgn0191953
CG9589,FBgn0038361,FBgn0179122,FBgn0190553
CG9590,FBgn0038360,FBgn0179121,FBgn0190552
CG9592,FBgn0036426,FBgn0180324,FBgn0189493
CG9593,FBgn0038365,FBgn0179125,FBgn0190556
CG9596,FBgn0031832,FBgn0169060,FBgn0193966
CG9601,FBgn0037578,FBgn0181200,FBgn0192334
CG9602,FBgn0038175,FBgn0180763,FBgn0191946
CG9603,FBgn0040529,FBgn0181201,FBgn0192335
CG9609,FBgn0030787,FBgn0168298,FBgn0187385
CG9616,FBgn0038214,FBgn0180723,FBgn0191909
CG9624,FBgn0038213,FBgn0180724,FBgn0191910
CG9626,FBgn0037565,FBgn0181210,FBgn0192339
CG9628,FBgn0036433,FBgn0180328,FBgn0186176
CG9629,FBgn0036857,FBgn0169804,FBgn0184027
CG9630,FBgn0037561,FBgn0181212,FBgn0192341
CG9631,FBgn0027563,FBgn0180725,FBgn0191911
CG9632,FBgn0038377,FBgn0179131,FBgn0190562
CG9634,FBgn0027528,FBgn0168300,FBgn0187387
CG9636,FBgn0037556,FBgn0181216,FBgn0192345
CG9640,FBgn0034182,FBgn0176629,FBgn0182993
CG9641,FBgn0031483,FBgn0173089,FBgn0194183
CG9642,FBgn0034183,FBgn0176630,FBgn0182994
CG9643,FBgn0031485,FBgn0173087,FBgn0194182
CG9646,FBgn0034184,FBgn0176631,FBgn0182995
CG9649,FBgn0038211,FBgn0180729,FBgn0191915
CG9657,FBgn0029950,FBgn0172433,FBgn0188430
CG9662,FBgn0031529,FBgn0173056,FBgn0194154
CG9663,FBgn0031516,FBgn0173062,FBgn0194160
CG9664,FBgn0031515,FBgn0173063,FBgn0194161
CG9666,FBgn0036856,FBgn0169937,FBgn0186467
CG9667,FBgn0037550,FBgn0181220,FBgn0192350
CG9669,FBgn0036667,FBgn0179227,FBgn0184171
CG9672,FBgn0030777,FBgn0168302,FBgn0187388
CG9673,FBgn0030775,FBgn0168304,FBgn0187389
CG9676,FBgn0030773,FBgn0168306,FBgn0187391
CG9682,FBgn0039760,FBgn0167804,FBgn0192937
CG9684,FBgn0037583,FBgn0181199,FBgn0192333
CG9686,FBgn0030158,FBgn0166336,FBgn0183956
CG9689,FBgn0030159,FBgn0166338,FBgn0183734
CG9691,FBgn0030160,FBgn0166340,FBgn0196101
CG9692,FBgn0036654,FBgn0180507,FBgn0186333
CG9698,FBgn0039784,FBgn0167820,FBgn0192953
CG9701,FBgn0036659,FBgn0180512,FBgn0186338
CG9702,FBgn0039787,FBgn0167826,FBgn0192959
CG9705,FBgn0036661,FBgn0180514,FBgn0186342
CG9706,FBgn0036662,FBgn0180515,FBgn0186343
CG9717,FBgn0039789,FBgn0167084,FBgn0188526
CG9722,FBgn0038209,FBgn0180735,FBgn0191920
CG9723,FBgn0030768,FBgn0168312,FBgn0187398
CG9727,FBgn0037445,FBgn0165499,FBgn0191039
CG9733,FBgn0039759,FBgn0167104,FBgn0188737
CG9737,FBgn0039758,FBgn0167105,FBgn0188747
CG9740,FBgn0037669,FBgn0181131,FBgn0192274
CG9743,FBgn0039756,FBgn0167108,FBgn0188775
CG9747,FBgn0039754,FBgn0167112,FBgn0188797
CG9752,FBgn0034614,FBgn0170646,FBgn0196520
CG9754,FBgn0034617,FBgn0170645,FBgn0196519
CG9757,FBgn0003060,FBgn0180779,FBgn0191959
CG9759,FBgn0038160,FBgn0180780,FBgn0191960
CG9760,FBgn0036259,FBgn0179539,FBgn0184471
CG9766,FBgn0037229,FBgn0165663,FBgn0191183
CG9769,FBgn0037270,FBgn0165634,FBgn0191154
CG9773,FBgn0037609,FBgn0181179,FBgn0192313
CG9775,FBgn0037261,FBgn0165638,FBgn0191157
CG9776,FBgn0027866,FBgn0165656,FBgn0191177
CG9780,FBgn0037230,FBgn0165659,FBgn0191181
CG9782,FBgn0030763,FBgn0168318,FBgn0187401
CG9791,FBgn0037232,FBgn0165690,FBgn0191206
CG9795,FBgn0037234,FBgn0165691,FBgn0191207
CG9796,FBgn0038149,FBgn0180795,FBgn0191971
CG9799,FBgn0038146,FBgn0180798,FBgn0191974
CG9801,FBgn0037623,FBgn0181171,FBgn0192309
CG9806,FBgn0030222,FBgn0166240,FBgn0187665
CG9812,FBgn0034860,FBgn0170464,FBgn0196362
CG9813,FBgn0038143,FBgn0180801,FBgn0191976
CG9815,FBgn0034861,FBgn0170463,FBgn0196361
CG9822,FBgn0034623,FBgn0170642,FBgn0196515
CG9825,FBgn0034783,FBgn0170875,FBgn0183453
CG9837,FBgn0037635,FBgn0181156,FBgn0192298
CG9839,FBgn0037633,FBgn0181157,FBgn0192299
CG9849,FBgn0034803,FBgn0170891,FBgn0183467
CG9850,FBgn0034903,FBgn0170431,FBgn0196329
CG9855,FBgn0037242,FBgn0165651,FBgn0191173
CG9861,FBgn0034844,FBgn0170912,FBgn0183487
CG9863,FBgn0034846,FBgn0170913,FBgn0183489
CG9864,FBgn0034490,FBgn0174690,FBgn0082743
CG9865,FBgn0034649,FBgn0170616,FBgn0196490
CG9866,FBgn0031420,FBgn0173242,FBgn0194540
CG9870,FBgn0031422,FBgn0173245,FBgn0194543
CG9875,FBgn0034850,FBgn0170917,FBgn0183493
CG9876,FBgn0034821,FBgn0170502,FBgn0196394
CG9879,FBgn0031444,FBgn0173262,FBgn0194558
CG9883,FBgn0031435,FBgn0173253,FBgn0194550
CG9886,FBgn0031428,FBgn0173248,FBgn0194545
CG9890,FBgn0034814,FBgn0170506,FBgn0196398
CG9894,FBgn0031453,FBgn0173269,FBgn0194566
CG9896,FBgn0034808,FBgn0170511,FBgn0196404
CG9899,FBgn0034829,FBgn0170906,FBgn0183482
CG9911,FBgn0030734,FBgn0168344,FBgn0187418
CG9917,FBgn0030740,FBgn0168340,FBgn0187417
CG9919,FBgn0030742,FBgn0168339,FBgn0187416
CG9920,FBgn0038200,FBgn0180746,FBgn0191931
CG9921,FBgn0030743,FBgn0168338,FBgn0187415
CG9922,FBgn0038196,FBgn0180748,FBgn0191933
CG9925,FBgn0038191,FBgn0180751,FBgn0191936
CG9926,FBgn0038190,FBgn0180752,FBgn0191937
CG9934,FBgn0032467,FBgn0180788,FBgn0193505
CG9935,FBgn0039916,FBgn0181626,FBgn0195716
CG9940,FBgn0030512,FBgn0172504,FBgn0187531
CG9945,FBgn0034527,FBgn0176899,FBgn0183266
CG9948,FBgn0035721,FBgn0169729,FBgn0185676
CG9951,FBgn0036671,FBgn0180524,FBgn0186352
CG9953,FBgn0035726,FBgn0169731,FBgn0185678
CG9960,FBgn0031454,FBgn0173111,FBgn0194202
CG9961,FBgn0031451,FBgn0173113,FBgn0194205
CG9962,FBgn0031441,FBgn0173116,FBgn0194208
CG9967,FBgn0031413,FBgn0173144,FBgn0194236
CG9970,FBgn0035380,FBgn0169025,FBgn0185082
CG9975,FBgn0034435,FBgn0176826,FBgn0183195
CG9977,FBgn0035371,FBgn0169035,FBgn0185088
CG9981,FBgn0030746,FBgn0168333,FBgn0195828
CG9986,FBgn0039589,FBgn0171301,FBgn0192811
CG9987,FBgn0032781,FBgn0172256,FBgn0195555
CG9989,FBgn0039593,FBgn0167668,FBgn0192814
CG9992,FBgn0030744,FBgn0168336,FBgn0187413
CG9993,FBgn0034553,FBgn0170687,FBgn0196559
CG9997,FBgn0039597,FBgn0167222,FBgn0045574
CHIP,FBgn0027052,FBgn0173334,FBgn0066168
CHKov2,FBgn0039328,FBgn0172627,FBgn0084777
CHMP2B,FBgn0035589,FBgn0169616,FBgn0185574
CHORD,FBgn0029503,FBgn0181424,FBgn0192530
CHOp24,FBgn0029709,FBgn0167285,FBgn0188282
CLS,FBgn0039360,FBgn0165177,FBgn0189715
CNT1,FBgn0033371,FBgn0175970,FBgn0182393
COQ7,FBgn0029502,FBgn0167466,FBgn0188402
CORL,FBgn0039932,FBgn0167949,FBgn0069517
CR13656,FBgn0039307,FBgn0172736,FBgn0192649
CR16735,FBgn0037666,FBgn0178653,FBgn0190121
CR17024,FBgn0032437,FBgn0181699,FBgn0195211
CR17025,FBgn0040554,FBgn0180787,FBgn0191966
CR18228,FBgn0037560,FBgn0181214,FBgn0192344
CR30374,FBgn0050374,FBgn0175596,FBgn0181957
CR30461,FBgn0050461,FBgn0174904,FBgn0196796
CR31044,FBgn0051044,FBgn0167712,FBgn0189344
CR31386,FBgn0051386,FBgn0174308,FBgn0192133
CR31647,FBgn0051647,FBgn0174345,FBgn0189370
CR31824,FBgn0051824,FBgn0174351,FBgn0195384
CR32194,FBgn0052194,FBgn0174271,FBgn0189462
CR32252,FBgn0052252,FBgn0168925,FBgn0184996
CR33929,FBgn0053929,FBgn0180830,FBgn0192006
CR34024,FBgn0054024,FBgn0165234,FBgn0192702
CR34046,FBgn0054046,FBgn0171356,FBgn0193020
CR34052,FBgn0054052,FBgn0174382,FBgn0189522
CR43751,FBgn0265017,FBgn0172342,FBgn0186846
CR9162,FBgn0031778,FBgn0174350,FBgn0189376
CREG,FBgn0025456,FBgn0170288,FBgn0191714
CRMP,FBgn0023023,FBgn0165762,FBgn0191284
CS-2,FBgn0029091,FBgn0177292,FBgn0186685
CSN1a,FBgn0028838,FBgn0170681,FBgn0195339
CSN1b,FBgn0027057,FBgn0169834,FBgn0184053
CSN3,FBgn0027055,FBgn0177052,FBgn0183893
CSN4,FBgn0027054,FBgn0175879,FBgn0182300
CSN5,FBgn0027053,FBgn0170080,FBgn0190610
CSN6,FBgn0028837,FBgn0181298,FBgn0192420
CSN7,FBgn0028836,FBgn0175910,FBgn0182329
CSN8,FBgn0261437,FBgn0171820,FBgn0194907
CTCF,FBgn0035769,FBgn0168699,FBgn0184788
CYLD,FBgn0032210,FBgn0166765,FBgn0193691
Ca-P60A,FBgn0263006,FBgn0170409,FBgn0196307
Ca-alpha1D,FBgn0001991,FBgn0173561,FBgn0195399
Ca-alpha1T,FBgn0264386,FBgn0167530,FBgn0187838
CaBP1,FBgn0025678,FBgn0172808,FBgn0193329
CaMKI,FBgn0016126,FBgn0181650,FBgn0196109
Cad74A,FBgn0036715,FBgn0179203,FBgn0184145
Cad86C,FBgn0261053,FBgn0178766,FBgn0190234
Cad87A,FBgn0037963,FBgn0180915,FBgn0192089
Cad96Ca,FBgn0022800,FBgn0172651,FBgn0189761
Cad96Cb,FBgn0039294,FBgn0172649,FBgn0189759
Caf1,FBgn0263979,FBgn0179069,FBgn0190504
Caf1-180,FBgn0030054,FBgn0176072,FBgn0195898
CalpA,FBgn0012051,FBgn0176835,FBgn0183202
CalpB,FBgn0025866,FBgn0180052,FBgn0185910
CalpC,FBgn0260450,FBgn0168358,FBgn0188838
Calx,FBgn0013995,FBgn0169976,FBgn0190890
Cam,FBgn0000253,FBgn0176232,FBgn0182612
CanB2,FBgn0015614,FBgn0175860,FBgn0182278
Cand1,FBgn0027568,FBgn0166667,FBgn0193675
Cap,FBgn0015615,FBgn0168319,FBgn0187402
Cap-G,FBgn0259876,FBgn0176324,FBgn0182703
Cap-H2,FBgn0037831,FBgn0178759,FBgn0190226
Capr,FBgn0042134,FBgn0169851,FBgn0184067
Caps,FBgn0053653,FBgn0167962,FBgn0195761
Cas,FBgn0022213,FBgn0172066,FBgn0193311
Cat,FBgn0000261,FBgn0025059,FBgn0022505
Catsup,FBgn0002022,FBgn0172226,FBgn0084332
Cbp20,FBgn0022943,FBgn0170200,FBgn0190709
Cbp53E,FBgn0004580,FBgn0176623,FBgn0182989
Cbp80,FBgn0022942,FBgn0167295,FBgn0188290
Cbs,FBgn0031148,FBgn0177927,FBgn0189057
Cby,FBgn0067317,FBgn0181231,FBgn0192360
Ccap,FBgn0039007,FBgn0178493,FBgn0189959
CcapR,FBgn0039396,FBgn0165158,FBgn0189696
Cchl,FBgn0038925,FBgn0178537,FBgn0190005
Ccn,FBgn0052183,FBgn0180573,FBgn0186400
Ccp84Ac,FBgn0004781,FBgn0165479,FBgn0191023
Ccp84Ae,FBgn0004779,FBgn0165480,FBgn0191025
Ccp84Af,FBgn0004778,FBgn0165481,FBgn0191026
Ccp84Ag,FBgn0004777,FBgn0165856,FBgn0191377
Cct1,FBgn0041342,FBgn0169343,FBgn0185333
Cct2,FBgn0035231,FBgn0169344,FBgn0185334
Cctgamma,FBgn0015019,FBgn0170101,FBgn0190625
CdGAPr,FBgn0032821,FBgn0171899,FBgn0193155
Cda4,FBgn0052499,FBgn0166662,FBgn0187149
Cda5,FBgn0051973,FBgn0171618,FBgn0194386
Cda9,FBgn0034197,FBgn0176638,FBgn0183002
Cdc27,FBgn0012058,FBgn0168714,FBgn0184802
Cdc37,FBgn0011573,FBgn0025058,FBgn0025042
Cdc42,FBgn0010341,FBgn0177851,FBgn0189009
Cdc6,FBgn0035918,FBgn0179786,FBgn0184695
Cdep,FBgn0265082,FBgn0165729,FBgn0191243
Cdk12,FBgn0037093,FBgn0177246,FBgn0186639
Cdk4,FBgn0016131,FBgn0176589,FBgn0182960
Cdk5,FBgn0013762,FBgn0175015,FBgn0196895
Cdk5alpha,FBgn0027491,FBgn0166723,FBgn0193685
Cdk7,FBgn0263237,FBgn0167588,FBgn0195924
Cdk8,FBgn0015618,FBgn0179698,FBgn0184613
Cdk9,FBgn0019949,FBgn0170549,FBgn0196432
CdsA,FBgn0010350,FBgn0179883,FBgn0185749
CecB,FBgn0000278,FBgn0025652,FBgn0025038
CecC,FBgn0000279,FBgn0046928,FBgn0046915
Ced-12,FBgn0032409,FBgn0181582,FBgn0195187
Cen,FBgn0032876,FBgn0178182,FBgn0193112
Cep135,FBgn0036480,FBgn0180365,FBgn0186208
Cep97,FBgn0031575,FBgn0173352,FBgn0194650
Cerk,FBgn0037315,FBgn0165589,FBgn0191115
Cf2,FBgn0000286,FBgn0172972,FBgn0194080
ChLD3,FBgn0032598,FBgn0172111,FBgn0195433
Cha,FBgn0000303,FBgn0172794,FBgn0190751
Chc,FBgn0000319,FBgn0177392,FBgn0187434
Chd1,FBgn0250786,FBgn0173086,FBgn0194180
Chd3,FBgn0023395,FBgn0174318,FBgn0186474
Che-13,FBgn0031550,FBgn0173328,FBgn0194629
CheA29a,FBgn0053194,FBgn0171881,FBgn0194925
CheA46a,FBgn0262594,FBgn0176029,FBgn0182446
CheA56a,FBgn0262595,FBgn0176782,FBgn0183150
CheA75a,FBgn0036783,FBgn0169892,FBgn0195142
CheA7a,FBgn0029948,FBgn0172430,FBgn0188427
CheA84a,FBgn0261290,FBgn0181218,FBgn0192348
CheA86a,FBgn0261291,FBgn0180987,FBgn0186783
CheA87a,FBgn0038142,FBgn0178968,FBgn0190414
CheB38a,FBgn0067312,FBgn0178170,FBgn0193100
CheB38b,FBgn0067311,FBgn0178171,FBgn0193101
CheB38c,FBgn0032888,FBgn0178169,FBgn0193099
CheB42a,FBgn0053348,FBgn0175789,FBgn0182207
CheB42b,FBgn0066293,FBgn0175717,FBgn0182062
CheB42c,FBgn0066292,FBgn0175716,FBgn0182061
CheB53a,FBgn0261292,FBgn0176578,FBgn0182948
CheB53b,FBgn0261293,FBgn0176579,FBgn0182949
CheB74a,FBgn0261294,FBgn0179179,FBgn0184118
CheB93a,FBgn0038888,FBgn0165373,FBgn0190924
CheB93b,FBgn0051438,FBgn0165374,FBgn0190925
CheB98a,FBgn0261289,FBgn0167672,FBgn0192817
Chi,FBgn0013764,FBgn0173189,FBgn0196292
Chmp1,FBgn0036805,FBgn0169847,FBgn0184064
Chrac-14,FBgn0043002,FBgn0171857,FBgn0194920
Chrac-16,FBgn0043001,FBgn0168159,FBgn0187595
Chro,FBgn0044324,FBgn0176943,FBgn0183787
Cht12,FBgn0050293,FBgn0170672,FBgn0196542
Cht2,FBgn0022702,FBgn0169099,FBgn0185154
Cht4,FBgn0022700,FBgn0170671,FBgn0196541
Cht5,FBgn0038180,FBgn0178994,FBgn0190440
Cht7,FBgn0035398,FBgn0169016,FBgn0185074
Cht9,FBgn0034582,FBgn0170669,FBgn0196540
Ciao1,FBgn0033972,FBgn0175057,FBgn0196936
Cip4,FBgn0035533,FBgn0168911,FBgn0184984
Cirl,FBgn0033313,FBgn0175930,FBgn0182352
CkIIalpha,FBgn0264492,FBgn0177363,FBgn0046914
CkIIalpha-i1,FBgn0015025,FBgn0180416,FBgn0186254
CkIIalpha-i3,FBgn0025676,FBgn0169182,FBgn0185223
CkIIbeta,FBgn0000259,FBgn0168040,FBgn0188623
CkIIbeta2,FBgn0026136,FBgn0082767,FBgn0082742
Cka,FBgn0044323,FBgn0171600,FBgn0194878
Cks30A,FBgn0010314,FBgn0172334,FBgn0194973
ClC-a,FBgn0051116,FBgn0180924,FBgn0192099
ClC-b,FBgn0033755,FBgn0176286,FBgn0182665
ClC-c,FBgn0036566,FBgn0180440,FBgn0186275
Claspin,FBgn0052251,FBgn0169572,FBgn0185534
Clbn,FBgn0259152,FBgn0172713,FBgn0192628
Clc,FBgn0024814,FBgn0177135,FBgn0186536
Clic,FBgn0030529,FBgn0172491,FBgn0187524
Cnb,FBgn0035295,FBgn0169385,FBgn0185368
CoIV,FBgn0032833,FBgn0172293,FBgn0085956
CoRest,FBgn0261573,FBgn0177834,FBgn0189000
CoVIII,FBgn0263911,FBgn0177001,FBgn0085958
CoVIIc,FBgn0040773,FBgn0176058,FBgn0085963
CoVIb,FBgn0031066,FBgn0177579,FBgn0085957
CoVa,FBgn0019624,FBgn0178845,FBgn0067172
CoVb,FBgn0031830,FBgn0171088,FBgn0067177
Cog3,FBgn0031536,FBgn0166079,FBgn0194152
Cog7,FBgn0051040,FBgn0167139,FBgn0189085
Con,FBgn0005775,FBgn0168870,FBgn0184944
Coop,FBgn0263240,FBgn0175670,FBgn0182025
Coprox,FBgn0021944,FBgn0171177,FBgn0194824
Coq2,FBgn0037574,FBgn0181203,FBgn0186791
Corin,FBgn0033192,FBgn0175844,FBgn0182262
Corp,FBgn0030028,FBgn0176344,FBgn0187758
Cortactin,FBgn0025865,FBgn0170028,FBgn0191495
Cp1,FBgn0013770,FBgn0176380,FBgn0182755
Cp110,FBgn0031191,FBgn0166674,FBgn0189095
Cp15,FBgn0000355,FBgn0179947,FBgn0185813
Cp16,FBgn0000356,FBgn0179949,FBgn0083437
Cp18,FBgn0000357,FBgn0179946,FBgn0185811
Cp19,FBgn0000358,FBgn0179948,FBgn0185814
Cp190,FBgn0000283,FBgn0166431,FBgn0041670
Cp36,FBgn0000359,FBgn0176506,FBgn0188485
Cp7Fa,FBgn0014464,FBgn0176474,FBgn0188481
Cp7Fb,FBgn0014465,FBgn0176485,FBgn0188482
Cp7Fc,FBgn0014466,FBgn0176496,FBgn0188484
Cpn,FBgn0261714,FBgn0180893,FBgn0192066
Cpr,FBgn0015623,FBgn0173527,FBgn0194788
Cpr100A,FBgn0039805,FBgn0167842,FBgn0186865
Cpr11A,FBgn0030394,FBgn0166510,FBgn0188652
Cpr11B,FBgn0030398,FBgn0166513,FBgn0196115
Cpr12A,FBgn0030494,FBgn0172522,FBgn0188702
Cpr23B,FBgn0031467,FBgn0173276,FBgn0194574
Cpr30B,FBgn0032125,FBgn0172429,FBgn0194989
Cpr30F,FBgn0051876,FBgn0167066,FBgn0193730
Cpr31A,FBgn0053302,FBgn0172812,FBgn0195031
Cpr35B,FBgn0028871,FBgn0169727,FBgn0042861
Cpr47Eb,FBgn0033598,FBgn0176151,FBgn0182546
Cpr47Ec,FBgn0033600,FBgn0175345,FBgn0197209
Cpr47Ed,FBgn0033601,FBgn0175344,FBgn0197208
Cpr47Ee,FBgn0033602,FBgn0176153,FBgn0182548
Cpr47Ef,FBgn0033603,FBgn0175343,FBgn0197207
Cpr49Aa,FBgn0050045,FBgn0176254,FBgn0182633
Cpr49Ab,FBgn0050042,FBgn0176255,FBgn0182634
Cpr49Ac,FBgn0033725,FBgn0176257,FBgn0182636
Cpr49Ad,FBgn0033726,FBgn0175248,FBgn0197126
Cpr49Ae,FBgn0033728,FBgn0176261,FBgn0182640
Cpr49Af,FBgn0033729,FBgn0176262,FBgn0182641
Cpr49Ag,FBgn0033730,FBgn0176263,FBgn0182642
Cpr49Ah,FBgn0033731,FBgn0176267,FBgn0182646
Cpr50Ca,FBgn0033867,FBgn0176368,FBgn0182742
Cpr50Cb,FBgn0033869,FBgn0176369,FBgn0182743
Cpr51A,FBgn0033942,FBgn0175090,FBgn0196962
Cpr56F,FBgn0034499,FBgn0082771,FBgn0082746
Cpr57A,FBgn0034517,FBgn0174680,FBgn0196585
Cpr5C,FBgn0029811,FBgn0167376,FBgn0188343
Cpr60D,FBgn0050163,FBgn0166749,FBgn0196245
Cpr62Ba,FBgn0035279,FBgn0169092,FBgn0185147
Cpr62Bb,FBgn0035280,FBgn0169090,FBgn0189156
Cpr62Bc,FBgn0035281,FBgn0169089,FBgn0185146
Cpr64Aa,FBgn0035510,FBgn0168928,FBgn0184999
Cpr64Ab,FBgn0035511,FBgn0168927,FBgn0184998
Cpr64Ac,FBgn0035512,FBgn0168926,FBgn0184997
Cpr64Ad,FBgn0035513,FBgn0169556,FBgn0185521
Cpr65Au,FBgn0042119,FBgn0168798,FBgn0184874
Cpr65Av,FBgn0052405,FBgn0168795,FBgn0184869
Cpr65Aw,FBgn0052404,FBgn0168794,FBgn0184868
Cpr65Ea,FBgn0035735,FBgn0168722,FBgn0189143
Cpr65Eb,FBgn0035736,FBgn0168721,FBgn0184813
Cpr65Ec,FBgn0035737,FBgn0169736,FBgn0185686
Cpr66Cb,FBgn0035875,FBgn0179905,FBgn0185773
Cpr66D,FBgn0052029,FBgn0179938,FBgn0185807
Cpr67B,FBgn0035985,FBgn0180005,FBgn0185865
Cpr72Ea,FBgn0036617,FBgn0180486,FBgn0186313
Cpr72Eb,FBgn0036618,FBgn0180487,FBgn0186314
Cpr72Ec,FBgn0036619,FBgn0179272,FBgn0184207
Cpr76Ba,FBgn0036878,FBgn0173010,FBgn0184010
Cpr76Bb,FBgn0036879,FBgn0174480,FBgn0186480
Cpr76Bc,FBgn0036880,FBgn0174482,FBgn0186481
Cpr76Bd,FBgn0036881,FBgn0174483,FBgn0186483
Cpr78Ca,FBgn0037067,FBgn0177022,FBgn0183864
Cpr78Cb,FBgn0037068,FBgn0177223,FBgn0186619
Cpr78Cc,FBgn0037069,FBgn0177225,FBgn0186621
Cpr78E,FBgn0037114,FBgn0176992,FBgn0183837
Cpr92A,FBgn0038714,FBgn0181753,FBgn0191590
Cpr92F,FBgn0038819,FBgn0177996,FBgn0190868
Cpr97Eb,FBgn0039481,FBgn0165087,FBgn0189640
Cpsf100,FBgn0027873,FBgn0167690,FBgn0192839
Cpsf160,FBgn0024698,FBgn0175091,FBgn0196963
Cpsf73,FBgn0261065,FBgn0173598,FBgn0191636
Crc,FBgn0005585,FBgn0181091,FBgn0192241
CrebA,FBgn0004396,FBgn0180393,FBgn0186233
CrebB-17A,FBgn0014467,FBgn0177763,FBgn0188949
Crg-1,FBgn0021738,FBgn0171150,FBgn0188244
Crtc,FBgn0036746,FBgn0179180,FBgn0184119
Crtp,FBgn0029501,FBgn0166805,FBgn0183601
Cry,FBgn0005664,FBgn0181518,FBgn0195168
Crz,FBgn0013767,FBgn0179024,FBgn0064364
Csas,FBgn0052220,FBgn0169872,FBgn0183971
Csat,FBgn0024994,FBgn0173764,FBgn0187980
Csl4,FBgn0032346,FBgn0166080,FBgn0193600
Csp,FBgn0004179,FBgn0177307,FBgn0189203
CstF-50,FBgn0039867,FBgn0171338,FBgn0187971
CstF-64,FBgn0027841,FBgn0172784,FBgn0190742
CtBP,FBgn0020496,FBgn0178940,FBgn0190385
Ctf4,FBgn0033890,FBgn0175121,FBgn0084111
Ctr1A,FBgn0062413,FBgn0167446,FBgn0188399
Ctr1B,FBgn0062412,FBgn0178588,FBgn0186814
Ctr1C,FBgn0062411,FBgn0167058,FBgn0188308
CtsB1,FBgn0030521,FBgn0172497,FBgn0187528
Cul-2,FBgn0032956,FBgn0171057,FBgn0195676
Cul-3,FBgn0261268,FBgn0169401,FBgn0193380
Cul-5,FBgn0039632,FBgn0167205,FBgn0189545
Cwc25,FBgn0031452,FBgn0173267,FBgn0194565
CycA,FBgn0000404,FBgn0179566,FBgn0184498
CycB,FBgn0000405,FBgn0170526,FBgn0187170
CycB3,FBgn0015625,FBgn0178316,FBgn0189789
CycC,FBgn0004597,FBgn0180675,FBgn0191868
CycD,FBgn0010315,FBgn0177382,FBgn0187433
CycE,FBgn0010382,FBgn0169158,FBgn0193359
CycH,FBgn0022936,FBgn0177280,FBgn0186674
CycK,FBgn0025674,FBgn0171031,FBgn0193042
CycT,FBgn0025455,FBgn0179187,FBgn0184128
CycY,FBgn0032378,FBgn0165902,FBgn0193566
Cyp1,FBgn0004432,FBgn0168341,FBgn0191705
Cyp12b2,FBgn0034387,FBgn0176791,FBgn0183157
Cyp12c1,FBgn0036806,FBgn0169846,FBgn0184063
Cyp12e1,FBgn0037817,FBgn0178749,FBgn0190215
Cyp18a1,FBgn0010383,FBgn0177661,FBgn0195805
Cyp28a5,FBgn0028940,FBgn0170359,FBgn0195309
Cyp28c1,FBgn0030339,FBgn0168043,FBgn0084635
Cyp28d1,FBgn0031689,FBgn0173446,FBgn0194714
Cyp28d2,FBgn0031688,FBgn0173441,FBgn0194713
Cyp301a1,FBgn0033753,FBgn0176284,FBgn0182663
Cyp303a1,FBgn0001992,FBgn0173569,FBgn0195406
Cyp304a1,FBgn0038095,FBgn0178932,FBgn0190377
Cyp305a1,FBgn0036910,FBgn0171103,FBgn0183983
Cyp308a1,FBgn0030949,FBgn0177781,FBgn0188959
Cyp309a1,FBgn0031432,FBgn0173126,FBgn0194220
Cyp309a2,FBgn0041337,FBgn0173125,FBgn0194219
Cyp310a1,FBgn0032693,FBgn0171991,FBgn0193244
Cyp311a1,FBgn0030367,FBgn0168157,FBgn0187593
Cyp312a1,FBgn0036778,FBgn0169874,FBgn0184084
Cyp313a1,FBgn0038236,FBgn0179031,FBgn0190473
Cyp313a4,FBgn0038076,FBgn0180847,FBgn0192020
Cyp313b1,FBgn0037601,FBgn0181186,FBgn0192319
Cyp316a1,FBgn0035790,FBgn0169772,FBgn0185717
Cyp317a1,FBgn0033982,FBgn0176462,FBgn0182845
Cyp318a1,FBgn0030369,FBgn0168183,FBgn0188633
Cyp49a1,FBgn0033524,FBgn0175404,FBgn0197258
Cyp4aa1,FBgn0034053,FBgn0176526,FBgn0182901
Cyp4ad1,FBgn0033292,FBgn0175568,FBgn0181945
Cyp4c3,FBgn0015032,FBgn0167844,FBgn0192977
Cyp4d14,FBgn0023541,FBgn0173814,FBgn0188006
Cyp4d2,FBgn0011576,FBgn0174106,FBgn0024395
Cyp4d21,FBgn0031925,FBgn0171406,FBgn0194857
Cyp4d8,FBgn0015033,FBgn0168685,FBgn0184775
Cyp4e3,FBgn0015035,FBgn0167245,FBgn0193747
Cyp4g15,FBgn0030304,FBgn0168015,FBgn0068666
Cyp6a18,FBgn0039519,FBgn0165343,FBgn0192773
Cyp6a2,FBgn0000473,FBgn0175730,FBgn0068665
Cyp6a22,FBgn0013773,FBgn0176457,FBgn0182839
Cyp6a8,FBgn0013772,FBgn0175050,FBgn0196930
Cyp6d5,FBgn0038194,FBgn0179010,FBgn0190452
Cyp6t1,FBgn0031182,FBgn0177484,FBgn0195767
Cyp6t3,FBgn0033697,FBgn0176225,FBgn0187074
Cyp6u1,FBgn0033121,FBgn0175714,FBgn0182059
Cyp6v1,FBgn0031126,FBgn0177915,FBgn0189049
Cyp6w1,FBgn0033065,FBgn0171451,FBgn0182170
Cyp9c1,FBgn0015040,FBgn0166829,FBgn0183625
Cyp9f2,FBgn0038037,FBgn0180870,FBgn0192040
